episode,winner,left_Fire_vizard,left_Lightning_Mage,left_Wanderer_Magician,right_Fire_vizard,right_Lightning_Mage,right_Wanderer_Magician
1,Left Team Wins!,12,7,5,9,8,7
2,Left Team Wins!,9,7,7,3,8,11
3,Left Team Wins!,8,8,7,9,8,6
4,Left Team Wins!,9,10,5,9,7,8
5,Left Team Wins!,8,7,5,9,5,6
6,Left Team Wins!,7,7,11,10,9,6
7,Left Team Wins!,6,8,6,7,4,9
8,Left Team Wins!,4,9,7,5,9,6
9,Left Team Wins!,6,10,3,10,4,6
10,Left Team Wins!,5,7,8,6,6,8
11,Left Team Wins!,13,8,6,6,11,9
12,Left Team Wins!,8,7,2,6,7,4
13,Left Team Wins!,5,5,11,7,7,7
1,Right Team Wins!,0,0,0,5,4,2
2,Right Team Wins!,0,0,0,3,6,4
3,Right Team Wins!,0,0,0,4,4,3
4,Right Team Wins!,0,0,0,4,4,5
1,Right Team Wins!,2,26,0,5,10,13
2,Right Team Wins!,2,32,0,9,10,15
3,Left Team Wins!,0,22,0,14,11,9
4,Right Team Wins!,1,34,0,16,11,8
5,Right Team Wins!,1,27,0,10,9,9
6,Right Team Wins!,1,19,0,8,8,4
7,Right Team Wins!,3,29,0,11,11,10
8,Right Team Wins!,4,27,0,8,12,11
9,Right Team Wins!,1,33,0,11,11,12
10,Right Team Wins!,3,24,0,12,7,8
11,Right Team Wins!,2,25,0,6,10,11
1,Right Team Wins!,3,0,33,11,17,7
2,Draw!,1,0,35,7,17,11
3,Draw!,1,0,35,10,14,12
4,Draw!,1,0,35,12,15,9
1,Left Team Wins!,9,14,11,11,12,11
2,Left Team Wins!,6,9,10,11,5,9
3,Right Team Wins!,11,9,11,10,8,13
1,Left Team Wins!,7,10,10,12,7,8
2,Left Team Wins!,14,6,8,11,10,7
3,Draw!,11,13,11,14,12,10
4,Right Team Wins!,11,12,9,11,8,13
5,Right Team Wins!,9,13,13,10,13,13
6,Left Team Wins!,10,12,8,11,12,7
7,Draw!,14,8,13,13,9,14
8,Right Team Wins!,9,11,8,12,9,7
9,Left Team Wins!,9,12,11,13,9,10
10,Right Team Wins!,11,7,6,8,6,10
11,Left Team Wins!,8,6,14,12,12,4
12,Right Team Wins!,14,6,11,13,8,10
13,Left Team Wins!,9,5,5,4,10,5
14,Left Team Wins!,10,11,14,11,12,13
15,Right Team Wins!,8,6,15,9,11,9
16,Left Team Wins!,9,9,5,4,10,10
17,Right Team Wins!,7,8,9,5,11,8
18,Left Team Wins!,5,8,7,5,12,2
19,Left Team Wins!,14,8,12,16,8,10
20,Draw!,16,9,10,7,11,18
21,Left Team Wins!,9,11,9,8,11,10
22,Right Team Wins!,4,12,5,12,3,6
23,Draw!,12,7,16,17,10,9
24,Left Team Wins!,8,10,8,9,9,8
25,Left Team Wins!,10,9,8,6,10,11
26,Right Team Wins!,13,4,9,13,4,9
27,Draw!,3,17,15,11,11,14
28,Left Team Wins!,14,10,10,10,14,10
1,Right Team Wins!,7,6,10,5,15,3
2,Right Team Wins!,11,14,11,9,13,14
3,Right Team Wins!,6,3,20,8,10,10
4,Right Team Wins!,5,11,18,7,14,13
5,Draw!,12,5,18,8,11,17
6,Right Team Wins!,12,5,15,9,12,11
1,Right Team Wins!,4,10,15,14,4,11
2,Left Team Wins!,5,15,7,9,7,11
3,Left Team Wins!,5,9,4,8,5,5
4,Left Team Wins!,7,12,3,7,5,10
5,Left Team Wins!,8,17,3,5,14,9
6,Right Team Wins!,5,14,7,8,8,10
7,Right Team Wins!,6,13,4,8,5,10
8,Right Team Wins!,8,8,7,6,9,8
9,Right Team Wins!,8,11,7,6,13,7
10,Right Team Wins!,6,11,6,5,10,8
11,Right Team Wins!,16,14,5,13,8,15
1,Right Team Wins!,10,7,13,11,5,13
2,Left Team Wins!,8,8,12,12,7,9
3,Right Team Wins!,5,7,9,7,10,4
4,Right Team Wins!,8,9,8,10,7,8
5,Left Team Wins!,9,11,6,8,9,9
6,Right Team Wins!,13,7,8,15,4,9
7,Left Team Wins!,14,10,12,12,8,15
8,Right Team Wins!,6,7,8,6,14,1
